,Trial_nr,Choice,Reward,probability_1,probability_2,probability_3,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3,weight_PE,weight_LP,weight_Nov,model_1_probability,model_2_probability,model_3_probability
0,0.0,3.0,0.0,0.5,0.25,0.125,0.0,0.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,-0.5,0.5,0.5,0.33,0.33,0.33
1,1.0,2.0,0.0,0.5,0.25,0.125,0.0,1.0,1.0,0.0,-1.0,1.0,101.0,0.0,1.0,,,,0.49898039059567995,0.49898039059567995,0.002039218808640069
2,2.0,1.0,0.0,0.5,0.2725,0.125,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,2.0,,,,0.9909861789887531,0.0023366086603945103,0.006677212350852444
3,3.0,2.0,0.0,0.515,0.2725,0.125,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,,,,0.14573399134724443,0.41645690331326046,0.4378091053394952
4,4.0,3.0,0.0,0.515,0.294325,0.125,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,,,,0.3728392944398196,0.21510956022944835,0.41205114533073206
5,5.0,2.0,1.0,0.515,0.294325,0.15125,1.0,0.6666666666666667,1.0,1.0,0.33333333333333326,1.0,3.0,0.0,1.0,,,,0.399993430412742,0.38048552061557894,0.21952104897167904
6,6.0,3.0,0.0,0.515,0.31549525,0.15125,1.0,0.6666666666666667,1.0,1.0,0.6666666666666667,0.0,4.0,1.0,0.0,,,,0.3797356370082403,0.2766653496649832,0.3435990133267766
7,7.0,2.0,0.0,0.515,0.31549525,0.1767125,1.0,0.75,1.0,1.0,-0.08333333333333326,1.0,5.0,0.0,1.0,,,,0.4242153525793665,0.365125537687029,0.2106591097336046
8,8.0,3.0,0.0,0.515,0.3360303925,0.1767125,1.0,0.75,1.0,1.0,0.75,0.0,6.0,1.0,0.0,,,,0.4287892770259925,0.2201477552827531,0.3510629676912543
9,9.0,1.0,0.0,0.515,0.3360303925,0.201411125,1.0,0.75,1.0,0.0,0.75,1.0,0.0,2.0,1.0,,,,0.4488068979204483,0.3495311635482932,0.20166193853125863
10,10.0,1.0,0.0,0.52955,0.3360303925,0.201411125,1.0,0.75,1.0,0.0,0.75,1.0,0.0,3.0,2.0,,,,0.21952104897167904,0.399993430412742,0.38048552061557894
11,11.0,2.0,1.0,0.5436635,0.3360303925,0.201411125,1.0,0.6,1.0,1.0,0.15000000000000002,1.0,1.0,0.0,3.0,,,,0.2110746820631593,0.40432217146310867,0.38460314647373195
