Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,3,4,6,0,8,4.311487699999816,87.5,16,0.14,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
2,2,1,1,1,4,3.4176846000000296,-11.5,24,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
3,2,0,1,0,4,6.551198500000055,-7.0,18,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
4,1,1,1,1,2,2.333239800000001,20.0,23,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
5,1,1,1,1,2,1.4662095000001045,38.0,12,0.14,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
6,1,0,1,0,2,2.2830271000000266,-2.5,2,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
7,1,0,0,1,2,4.40356769999994,-43.0,10,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
8,1,0,0,1,2,2.3009547999999995,-88.0,16,0.30000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
9,1,0,1,0,2,2.249671199999966,15.5,9,0.30000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
10,1,0,0,1,2,1.0558439000001272,-34.0,21,0.30000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
11,1,0,1,0,2,2.434236900000087,69.5,20,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
12,1,0,0,1,2,0.6741217999999662,-11.5,1,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
13,1,0,0,1,2,0.6501600999999937,-29.5,2,0.42000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
14,1,1,1,1,2,3.2998717999998917,11.0,23,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
15,1,1,1,1,2,1.0337822999999844,11.0,2,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
16,1,0,0,1,2,1.5999328000000332,-56.5,24,0.4600000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
17,1,1,1,1,2,2.3992335000000367,65.0,19,0.22000000000000003,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
18,1,1,1,1,2,1.266784400000006,87.5,7,0.38,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
19,1,0,0,1,2,0.9506177000000662,-11.5,22,0.38,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
20,1,0,0,1,2,1.701292100000046,-7.0,17,0.18000000000000002,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
21,1,0,0,1,2,4.25087029999986,-88.0,2,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
22,2,2,2,1,4,1.367107199999964,33.5,1,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
23,2,1,1,1,4,2.2999377999999524,-11.5,15,0.14,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
24,2,1,0,0,4,1.1501028000000133,-56.5,9,0.4600000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
25,2,2,2,1,4,1.7004537000000255,65.0,2,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
26,2,1,1,1,4,1.017764500000112,-20.5,19,0.18000000000000002,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
27,2,1,0,0,4,0.8671231000000716,-56.5,5,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
28,2,1,0,0,4,0.9003222999999707,-43.0,5,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
29,2,1,0,0,4,0.8837455999998838,-47.5,11,0.22000000000000003,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
30,2,1,0,0,4,1.1161318999998002,-38.5,6,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
31,2,0,1,0,4,1.3506207000000359,-38.5,18,0.18000000000000002,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
32,2,1,0,0,4,0.7507220999998481,-70.0,6,0.42000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
33,3,2,2,1,8,2.6163116000000173,-16.0,24,0.18000000000000002,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
34,3,3,0,0,8,1.1331150999999409,-43.0,11,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
35,3,2,0,0,8,0.7490040999998655,-34.0,1,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
36,2,1,0,0,4,1.366458099999818,-61.0,6,0.4600000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
37,1,0,0,1,2,0.9074774000000616,-34.0,17,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
38,1,1,1,1,2,0.701278099999854,65.0,12,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
39,1,1,1,1,2,1.1827680999999757,11.0,3,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
40,1,1,1,1,2,0.8995348000000831,33.5,7,0.42000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
41,1,0,0,1,2,1.7678670000000238,-79.0,1,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
42,1,0,0,1,2,0.9669849000001705,-29.5,4,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
43,1,1,1,1,2,1.217672900000025,6.5,23,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
44,1,0,0,1,2,1.0826792000000296,-52.0,23,0.22000000000000003,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
45,1,0,0,1,2,1.3827106999999614,-52.0,13,0.4600000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
46,1,1,1,1,2,0.9169575000000805,33.5,0,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
47,2,2,3,0,4,0.9334662999999637,65.0,22,0.4600000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
48,2,2,3,0,4,14.342706599999929,29.0,19,0.38,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
49,2,3,2,0,4,1.2831392000000506,20.0,1,0.3400000000000001,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
50,2,1,0,0,4,1.1309094000000641,-29.5,7,0.42000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
51,2,2,3,0,4,2.3169295999998667,38.0,18,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
52,2,2,3,0,4,8.867277400000148,56.0,22,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
53,2,2,3,0,4,16.782841399999825,69.5,19,0.30000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
54,3,4,5,0,8,1.0823771999998826,15.5,4,0.42000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
55,3,4,6,0,8,0.966051600000128,6.5,20,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
56,3,4,0,0,8,15.482461000000058,-65.5,10,0.18000000000000002,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
57,3,4,4,1,8,35.24944160000018,29.0,9,0.26,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
58,3,3,0,0,8,5.4329594999999244,-79.0,4,0.18000000000000002,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
59,3,0,0,1,8,12.683083500000066,-11.5,2,0.18000000000000002,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
60,3,5,7,0,8,19.266590899999983,6.5,15,0.42000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
61,3,4,4,1,8,1.7831144999997832,38.0,8,0.1,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
62,3,0,3,0,8,3.433319200000142,-16.0,21,0.42000000000000004,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,0,27
63,3,4,5,0,8,16.465710200000103,83.0,5,0.38,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
64,3,4,6,0,8,19.832361499999934,33.5,19,0.14,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
65,3,5,6,0,8,8.133191699999998,42.5,15,0.22000000000000003,orientation,color,size,0.38,-2.5,12,female,0,2704.3748031,1,27
