,Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,PE_1,PE_2,PE_3,LP_1,LP_2,LP_3,Nov_1,Nov_2,Nov_3
0,1,1.0,0.0,0.0,1.0,2.0,6.040763400000287,-88.0,20.0,0.22,size,color,orientation,0.38,20.0,10,female,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0
1,2,1.0,1.0,0.0,0.0,2.0,2.84930870000062,-29.5,9.0,0.22,size,color,orientation,0.38,20.0,10,female,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
2,3,1.0,0.0,0.0,1.0,2.0,1.4092019999998229,42.5,8.0,0.14,size,color,orientation,0.38,20.0,10,female,1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,101.0,101.0
3,4,1.0,0.0,0.0,1.0,2.0,1.1170265999999174,-79.0,9.0,0.22,size,color,orientation,0.38,20.0,10,female,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.0,102.0
4,5,1.0,0.0,1.0,0.0,2.0,2.3334814999998343,-11.5,10.0,0.4600000000000001,size,color,orientation,0.38,20.0,10,female,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0
5,6,1.0,0.0,0.0,1.0,2.0,4.808187100000396,47.0,10.0,0.1,size,color,orientation,0.38,20.0,10,female,1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,104.0,104.0
6,7,1.0,1.0,1.0,1.0,2.0,1.5504608999999618,-38.5,0.0,0.42,size,color,orientation,0.38,20.0,10,female,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,105.0,105.0
7,8,1.0,0.0,0.0,1.0,2.0,1.8174685000003592,29.0,0.0,0.1,size,color,orientation,0.38,20.0,10,female,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0
8,9,1.0,1.0,1.0,1.0,2.0,1.517394299999978,-83.5,15.0,0.38,size,color,orientation,0.38,20.0,10,female,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0
9,10,1.0,1.0,1.0,1.0,2.0,1.0998547999997754,-11.5,7.0,0.38,size,color,orientation,0.38,20.0,10,female,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,108.0
10,11,1.0,1.0,1.0,1.0,2.0,1.0499786000000313,24.5,12.0,0.38,size,color,orientation,0.38,20.0,10,female,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,109.0
11,12,1.0,1.0,0.0,0.0,2.0,3.5173648999998477,69.5,12.0,0.26,size,color,orientation,0.38,20.0,10,female,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0
12,13,2.0,1.0,0.0,0.0,4.0,4.315713099999812,60.5,0.0,0.1,size,color,orientation,0.38,20.0,10,female,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,111.0
13,14,2.0,1.0,0.0,0.0,4.0,1.933814899999561,65.0,12.0,0.22,size,color,orientation,0.38,20.0,10,female,1,1.0,1.0,0.0,0.0,-1.0,0.0,2.0,0.0,112.0
14,15,3.0,7.0,4.0,0.0,8.0,4.19963209999969,-11.5,3.0,0.42,size,color,orientation,0.38,20.0,10,female,1,1.0,1.0,3.0,0.0,-1.0,0.0,3.0,1.0,0.0
15,16,1.0,1.0,0.0,0.0,2.0,4.4595390000004045,-16.0,24.0,0.18,size,color,orientation,0.38,20.0,10,female,1,1.0,1.0,3.0,0.0,-1.0,0.0,0.0,2.0,1.0
16,17,1.0,1.0,0.0,0.0,2.0,3.8423537000007855,38.0,9.0,0.1,size,color,orientation,0.38,20.0,10,female,1,1.0,1.0,3.0,0.0,-1.0,0.0,0.0,3.0,2.0
17,18,1.0,1.0,0.0,0.0,2.0,2.408804099999543,20.0,9.0,0.3400000000000001,size,color,orientation,0.38,20.0,10,female,1,1.0,1.0,3.0,0.0,-1.0,0.0,0.0,4.0,3.0
18,19,1.0,1.0,0.0,0.0,2.0,7.276445800000147,-65.5,6.0,0.18,size,color,orientation,0.38,20.0,10,female,1,1.0,1.0,3.0,0.0,-1.0,0.0,0.0,5.0,4.0
