,Estimated_PE,Estimated_LP,Estimated_Nov,Negative_LogL,sub_id,n_trials
7,-1.5463366329516066,-0.6762554783269193,-0.053959349561095236,,7,139
6,-0.4301486538707037,-0.11369202334761654,-0.048145210735964936,,6,60
4,0.04864971768314919,-0.015961851084308348,-0.07781037446726168,,4,89
5,-0.6951647581666698,0.00177948611588167,-0.04611813954140887,,5,182
1,-0.20191034824212026,0.40541899692182837,-0.03974701184769834,,1,54
2,-0.6749828973406685,-0.010426773939487778,-0.1045400214270443,,2,314
3,-82.5869212781139,101.21199927003113,-28.69117795999112,,3,32
8,-0.5223395645241634,-0.036192284075327354,-0.03455198452408288,,8,170
9,-0.09904138280167278,-0.03593145640601127,-0.04526025848015892,,9,198
10,0.08665567940933572,-0.15916979438702117,-0.04902273210161878,,10,104
