Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
1,3,2,6,0,8,7.316038999999819,38.0,20,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
2,2,1,3,0,4,16.833187400000043,78.5,22,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
3,1,0,1,0,2,5.841920500000015,-2.5,17,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
4,3,6,4,0,8,7.432482499999878,-61.0,22,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
5,3,1,4,0,8,22.882611200000156,-7.0,21,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
6,3,4,6,0,8,4.682633399999759,74.0,20,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
7,3,3,3,1,8,11.916176600000199,24.5,5,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
8,3,0,1,0,8,2.8335439999996197,-34.0,7,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
9,3,0,2,0,8,6.582768899999792,42.5,10,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
10,3,0,2,0,8,4.197327700000187,60.5,6,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
11,3,4,6,0,8,5.350317599999926,47.0,24,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
12,3,6,4,0,8,3.283140999999887,-65.5,23,0.14,color,orientation,size,0.3400000000000001,11.0,1,female,1
13,3,0,4,0,8,6.5493821000000025,-38.5,19,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
14,3,3,4,0,8,7.549498699999731,-25.0,13,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
15,2,2,2,1,4,13.232412199999999,-2.5,13,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
16,2,3,0,0,4,8.35059050000018,-70.0,3,0.18000000000000002,color,orientation,size,0.3400000000000001,11.0,1,female,1
17,2,2,1,0,4,7.766117300000133,42.5,11,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
18,2,1,0,0,4,5.382209999999759,-29.5,6,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
19,2,3,0,0,4,4.3153354999999465,-79.0,11,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
20,1,1,1,1,2,4.724663500000133,-83.5,24,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
21,1,0,1,0,2,2.0341174000000137,78.5,22,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
22,1,0,1,0,2,8.543279499999699,51.5,16,0.42000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
23,1,0,1,0,2,4.924448499999926,-25.0,14,0.1,color,orientation,size,0.3400000000000001,11.0,1,female,1
24,1,1,1,1,2,1.8249722999998994,87.5,13,0.26,color,orientation,size,0.3400000000000001,11.0,1,female,1
25,1,1,0,0,2,6.533589099999972,20.0,0,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
26,1,0,0,1,2,4.925095800000236,20.0,0,0.4600000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
27,1,0,0,1,2,2.8004777999999533,24.5,11,0.38,color,orientation,size,0.3400000000000001,11.0,1,female,1
28,1,0,1,0,2,2.0503930999998374,11.0,16,0.30000000000000004,color,orientation,size,0.3400000000000001,11.0,1,female,1
29,1,0,1,0,2,10.558580299999903,24.5,17,0.3400000000000001,color,orientation,size,0.3400000000000001,11.0,1,female,1
30,1,1,1,1,2,11.258675200000198,-7.0,20,0.22000000000000003,color,orientation,size,0.3400000000000001,11.0,1,female,1
