Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,1,1,0,0,2,5.639712600000166,-2.5,8,0.3400000000000001,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
2,1,0,0,1,2,1.8076366999994207,-2.5,6,0.26,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
3,1,1,0,0,2,1.7009400999995705,11.0,9,0.26,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
4,1,0,1,0,2,7.908004400000209,69.5,15,0.1,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
5,1,0,0,1,2,2.457812499999818,-38.5,5,0.26,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
6,1,0,1,0,2,1.3172904000002745,29.0,20,0.42000000000000004,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
7,2,1,2,0,4,6.182352199999514,-65.5,23,0.4600000000000001,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
8,2,1,2,0,4,2.799773899999309,-47.5,20,0.18000000000000002,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
9,2,2,3,0,4,1.0329612000005,11.0,22,0.30000000000000004,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
10,2,2,3,0,4,1.6334366000000955,83.0,19,0.42000000000000004,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
11,1,1,1,1,2,2.392740600000252,-38.5,14,0.4600000000000001,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
12,1,1,0,0,2,4.200221600000077,87.5,6,0.38,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
13,1,0,0,1,2,5.907831700000315,83.0,0,0.1,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
14,1,1,1,1,2,7.750096699999631,83.0,16,0.42000000000000004,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
15,1,0,0,1,2,5.633610900000349,38.0,3,0.22000000000000003,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
16,1,1,1,1,2,3.9834031999998842,15.5,17,0.18000000000000002,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
17,1,0,0,1,2,1.851283599999988,-65.5,6,0.26,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
18,1,1,0,0,2,2.417281699999876,-2.5,5,0.38,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
19,1,0,0,1,2,1.3423380999993242,-20.5,3,0.38,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
20,1,1,0,0,2,1.8499611000006553,-61.0,9,0.14,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
21,2,1,3,0,4,12.966775099999722,38.0,21,0.1,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
22,2,0,0,1,4,2.5338838000006945,-61.0,10,0.14,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
23,2,1,2,0,4,2.0339788999999655,-88.0,19,0.3400000000000001,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
24,2,2,2,1,4,2.3164434999998775,-29.5,21,0.4600000000000001,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
25,2,1,3,0,4,1.2998932000000423,20.0,22,0.42000000000000004,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
26,1,0,1,0,2,1.0067168999994465,83.0,14,0.38,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
27,1,1,0,0,2,16.87570119999964,-16.0,5,0.42000000000000004,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
28,1,0,1,0,2,1.192940500000077,69.5,22,0.26,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
29,1,1,0,0,2,1.7252717999999732,11.0,0,0.18000000000000002,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
30,1,1,1,1,2,0.39277490000040416,-11.5,13,0.1,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
31,1,0,1,0,2,0.5834481000001688,83.0,15,0.30000000000000004,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
32,3,0,1,0,8,11.799265100000412,-29.5,3,0.4600000000000001,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
33,1,0,0,1,2,1.5712679999996908,56.0,11,0.1,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
34,1,1,0,0,2,1.617730400000255,-70.0,4,0.1,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
35,1,1,0,0,2,1.2585774999997739,78.5,11,0.3400000000000001,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
36,1,0,1,0,2,9.337471499999992,-47.5,21,0.38,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
37,1,1,1,1,2,1.6730739000004178,-16.0,16,0.30000000000000004,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,1,18
38,1,1,1,1,2,1.4841910000004646,-70.0,14,0.14,color,orientation,size,0.38,-2.5,1,female,0,2700.8190137,0,18
