Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit
1,1,1,0,0,2,2.0762183339998046,69.5,3,0.26,color,orientation,size,0.26,15.5,122,male,1
2,1,1,1,1,2,1.1779945840003165,-88.0,21,0.14,color,orientation,size,0.26,15.5,122,male,1
3,1,0,0,1,2,0.8552217089995793,29.0,8,0.22000000000000003,color,orientation,size,0.26,15.5,122,male,1
4,1,1,1,1,2,0.6503069579998737,-29.5,18,0.38,color,orientation,size,0.26,15.5,122,male,1
5,1,0,0,1,2,1.2207305409997389,-70.0,10,0.38,color,orientation,size,0.26,15.5,122,male,1
6,1,0,0,1,2,0.9047843329999523,-25.0,10,0.26,color,orientation,size,0.26,15.5,122,male,1
7,1,0,0,1,2,0.7702517079997051,-11.5,5,0.14,color,orientation,size,0.26,15.5,122,male,1
8,1,1,1,1,2,0.8373330419999547,-88.0,14,0.4600000000000001,color,orientation,size,0.26,15.5,122,male,1
9,1,0,0,1,2,0.8712727090000953,56.0,8,0.38,color,orientation,size,0.26,15.5,122,male,1
10,1,1,1,1,2,0.8807754170002227,20.0,24,0.42000000000000004,color,orientation,size,0.26,15.5,122,male,1
11,1,1,1,1,2,0.6878748340000129,-16.0,15,0.14,color,orientation,size,0.26,15.5,122,male,1
12,1,0,0,1,2,0.8212409999996453,83.0,5,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
13,1,0,0,1,2,0.7519325830003254,-38.5,6,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
14,1,0,0,1,2,0.8046071670000856,20.0,12,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
15,1,0,0,1,2,0.7165149170000404,-47.5,2,0.30000000000000004,color,orientation,size,0.26,15.5,122,male,1
16,1,0,0,1,2,0.7702425829997992,78.5,0,0.38,color,orientation,size,0.26,15.5,122,male,1
17,1,0,0,1,2,0.6377869580001061,-11.5,1,0.42000000000000004,color,orientation,size,0.26,15.5,122,male,1
18,1,0,0,1,2,2.001586583000062,-83.5,12,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
19,1,0,0,1,2,1.021127417000116,78.5,11,0.1,color,orientation,size,0.26,15.5,122,male,1
20,1,1,1,1,2,1.4105479160002687,-38.5,20,0.42000000000000004,color,orientation,size,0.26,15.5,122,male,1
21,1,1,1,1,2,0.9328996670001288,-20.5,19,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
22,2,1,1,1,4,1.8154097500000717,29.0,4,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
23,2,2,2,1,4,2.805353875000037,-34.0,14,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
24,2,1,1,1,4,1.9481306249999761,65.0,12,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
25,2,2,2,1,4,0.9384991250003623,-56.5,24,0.30000000000000004,color,orientation,size,0.26,15.5,122,male,1
26,2,0,0,1,4,1.2385892499996771,-61.0,3,0.26,color,orientation,size,0.26,15.5,122,male,1
27,2,3,3,1,4,1.3863538749997133,74.0,20,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
28,2,3,3,1,4,0.9887085000000297,20.0,21,0.1,color,orientation,size,0.26,15.5,122,male,1
29,2,3,3,1,4,1.0171908749998693,24.5,22,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
30,2,3,2,0,4,1.0385482500000762,2.0,17,0.42000000000000004,color,orientation,size,0.26,15.5,122,male,1
31,2,0,0,1,4,1.7178058750000673,-52.0,3,0.4600000000000001,color,orientation,size,0.26,15.5,122,male,1
32,2,3,3,1,4,1.550732500000322,20.0,18,0.22000000000000003,color,orientation,size,0.26,15.5,122,male,1
33,2,0,0,1,4,1.088740666999911,-34.0,1,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
34,2,3,3,1,4,0.9657813750000059,29.0,16,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
35,2,2,2,1,4,2.938692291999814,-79.0,22,0.30000000000000004,color,orientation,size,0.26,15.5,122,male,1
36,2,2,2,1,4,1.138458417000038,-34.0,19,0.14,color,orientation,size,0.26,15.5,122,male,1
37,2,2,2,1,4,0.6663017500000024,-65.5,19,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
38,2,0,0,1,4,3.755587624999862,-7.0,2,0.30000000000000004,color,orientation,size,0.26,15.5,122,male,1
39,2,1,0,0,4,0.9220762499999182,11.0,6,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
40,3,4,6,0,8,4.569950041999618,24.5,16,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
41,3,2,0,0,8,7.647161249999954,11.0,9,0.1,color,orientation,size,0.26,15.5,122,male,1
42,3,6,6,1,8,4.9976540830002705,87.5,23,0.22000000000000003,color,orientation,size,0.26,15.5,122,male,1
43,3,2,2,1,8,4.123648499999945,24.5,12,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
44,3,1,1,1,8,13.290182791999996,-29.5,4,0.38,color,orientation,size,0.26,15.5,122,male,1
45,3,4,4,1,8,7.2570586249999,-56.5,14,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
46,3,7,5,0,8,6.106899750000139,6.5,18,0.4600000000000001,color,orientation,size,0.26,15.5,122,male,1
47,3,2,2,1,8,3.8011805419996563,60.5,9,0.1,color,orientation,size,0.26,15.5,122,male,1
48,3,5,5,1,8,4.857055833000231,-34.0,21,0.42000000000000004,color,orientation,size,0.26,15.5,122,male,1
49,3,3,3,1,8,5.573384625000017,69.5,4,0.42000000000000004,color,orientation,size,0.26,15.5,122,male,1
50,3,0,0,1,8,3.256227625000065,-52.0,8,0.22000000000000003,color,orientation,size,0.26,15.5,122,male,1
51,3,6,6,1,8,4.00175441600004,69.5,15,0.22000000000000003,color,orientation,size,0.26,15.5,122,male,1
52,3,7,7,1,8,3.32278233299985,56.0,15,0.38,color,orientation,size,0.26,15.5,122,male,1
53,3,0,0,1,8,5.502051458000096,-74.5,9,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
54,3,5,5,1,8,3.640216166999835,-20.5,13,0.4600000000000001,color,orientation,size,0.26,15.5,122,male,1
55,3,7,7,1,8,8.773659082999984,78.5,22,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
56,3,1,1,1,8,7.889671582999654,-61.0,7,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
57,3,7,7,1,8,15.623745166999925,78.5,19,0.38,color,orientation,size,0.26,15.5,122,male,1
58,3,1,1,1,8,2.256869374999951,-11.5,0,0.38,color,orientation,size,0.26,15.5,122,male,1
59,3,3,3,1,8,3.656925957999647,87.5,12,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
60,3,5,5,1,8,2.6903684999997495,-20.5,23,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
61,3,7,7,1,8,2.3833401659999254,47.0,16,0.4600000000000001,color,orientation,size,0.26,15.5,122,male,1
62,3,0,0,1,8,5.156918624999889,-2.5,4,0.1,color,orientation,size,0.26,15.5,122,male,1
63,3,3,3,1,8,2.9356227500002205,29.0,0,0.42000000000000004,color,orientation,size,0.26,15.5,122,male,1
64,3,0,0,1,8,3.9234697090000736,-2.5,9,0.1,color,orientation,size,0.26,15.5,122,male,1
65,3,1,1,1,8,2.789832416000081,-34.0,5,0.38,color,orientation,size,0.26,15.5,122,male,1
66,3,3,3,1,8,2.269237540999711,51.5,10,0.4600000000000001,color,orientation,size,0.26,15.5,122,male,1
67,4,4,6,0,8,4.9020907919998535,56.0,18,0.1,color,orientation,size,0.26,15.5,122,male,1
68,4,4,5,0,8,0.42330820799998037,-83.5,24,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
69,4,1,0,0,2,0.9684410830000161,2.0,4,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
70,4,1,0,0,2,0.6686751249999361,29.0,8,0.26,color,orientation,size,0.26,15.5,122,male,1
71,4,1,0,0,2,0.5885339579999709,-70.0,0,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
72,4,1,0,0,2,0.5161698330002764,83.0,6,0.30000000000000004,color,orientation,size,0.26,15.5,122,male,1
73,4,2,0,0,4,0.5711112079998202,-29.5,6,0.26,color,orientation,size,0.26,15.5,122,male,1
74,4,5,7,0,8,0.5233045410000159,60.5,19,0.42000000000000004,color,orientation,size,0.26,15.5,122,male,1
75,4,1,0,0,2,0.5387647080001443,-7.0,7,0.38,color,orientation,size,0.26,15.5,122,male,1
76,4,2,1,0,4,0.5974505839999438,15.5,0,0.22000000000000003,color,orientation,size,0.26,15.5,122,male,1
77,4,5,1,0,8,0.4390906250000626,-61.0,3,0.4600000000000001,color,orientation,size,0.26,15.5,122,male,1
78,4,5,0,0,8,0.39012370899990856,-16.0,3,0.1,color,orientation,size,0.26,15.5,122,male,1
79,4,1,1,1,2,0.5553204580000966,65.0,15,0.30000000000000004,color,orientation,size,0.26,15.5,122,male,1
80,4,5,1,0,8,0.3686502499999733,2.0,8,0.26,color,orientation,size,0.26,15.5,122,male,1
81,4,1,1,1,2,0.5544859999999971,83.0,15,0.22000000000000003,color,orientation,size,0.26,15.5,122,male,1
82,4,2,2,1,4,0.43492074999994657,11.0,14,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
83,4,2,2,1,4,0.5875921659999221,-88.0,17,0.22000000000000003,color,orientation,size,0.26,15.5,122,male,1
84,4,5,0,0,8,0.4529002079998463,-43.0,2,0.14,color,orientation,size,0.26,15.5,122,male,1
85,4,2,3,0,4,0.48806500000000597,42.5,17,0.4600000000000001,color,orientation,size,0.26,15.5,122,male,1
86,4,5,4,0,8,0.2889516669997647,11.0,15,0.1,color,orientation,size,0.26,15.5,122,male,1
87,4,1,0,0,2,0.5651729159999377,-65.5,1,0.38,color,orientation,size,0.26,15.5,122,male,1
88,4,1,0,0,2,0.5384519579997686,-56.5,7,0.42000000000000004,color,orientation,size,0.26,15.5,122,male,1
89,4,2,3,0,4,0.5126483330000156,24.5,16,0.3400000000000001,color,orientation,size,0.26,15.5,122,male,1
90,4,5,7,0,8,0.4035588329998063,60.5,14,0.30000000000000004,color,orientation,size,0.26,15.5,122,male,1
91,4,5,1,0,8,0.38959350000004633,-65.5,2,0.30000000000000004,color,orientation,size,0.26,15.5,122,male,1
92,4,2,1,0,4,0.38225699999975404,60.5,8,0.1,color,orientation,size,0.26,15.5,122,male,1
93,4,2,0,0,4,0.3718587500002286,-88.0,11,0.22000000000000003,color,orientation,size,0.26,15.5,122,male,1
94,4,2,1,0,4,0.38846462499986956,78.5,9,0.26,color,orientation,size,0.26,15.5,122,male,1
95,4,1,0,0,2,0.5707873750002364,-52.0,8,0.30000000000000004,color,orientation,size,0.26,15.5,122,male,1
96,4,2,3,0,4,0.3689684170003602,42.5,15,0.18000000000000002,color,orientation,size,0.26,15.5,122,male,1
97,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
98,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
99,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
100,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
101,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
102,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
103,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
104,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
105,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
106,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
107,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
108,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
109,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,color,orientation,size,0.26,15.5,122,male,1
