Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender
1,1,1,1,1,2,1.6139480419997199,42.5,23,0.26,color,size,orientation,0.30000000000000004,40.5,4,male
2,1,1,1,1,2,0.821969708999859,38.0,14,0.22000000000000003,color,size,orientation,0.30000000000000004,40.5,4,male
3,1,0,0,1,2,1.403978792000089,-88.0,11,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
4,1,0,0,1,2,1.4381318749992715,56.0,10,0.22000000000000003,color,size,orientation,0.30000000000000004,40.5,4,male
5,1,0,0,1,2,0.6218369589996655,60.5,8,0.1,color,size,orientation,0.30000000000000004,40.5,4,male
6,1,1,1,1,2,1.8695867500000531,-61.0,22,0.38,color,size,orientation,0.30000000000000004,40.5,4,male
7,1,1,1,1,2,0.7164180420004413,-52.0,20,0.38,color,size,orientation,0.30000000000000004,40.5,4,male
8,1,0,0,1,2,1.154630625000209,47.0,11,0.1,color,size,orientation,0.30000000000000004,40.5,4,male
9,1,1,1,1,2,1.4879250000003594,42.5,19,0.26,color,size,orientation,0.30000000000000004,40.5,4,male
10,1,0,0,1,2,1.030513916000018,6.5,6,0.22000000000000003,color,size,orientation,0.30000000000000004,40.5,4,male
11,1,0,0,1,2,0.804741875000218,2.0,3,0.1,color,size,orientation,0.30000000000000004,40.5,4,male
12,1,0,0,1,2,0.604888583000502,15.5,0,0.42000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
13,1,1,1,1,2,0.9048437499995998,-20.5,21,0.1,color,size,orientation,0.30000000000000004,40.5,4,male
14,1,0,0,1,2,0.904649832999894,-20.5,7,0.18000000000000002,color,size,orientation,0.30000000000000004,40.5,4,male
15,1,1,1,1,2,1.05429041699972,-83.5,19,0.18000000000000002,color,size,orientation,0.30000000000000004,40.5,4,male
16,1,0,0,1,2,1.121206834000077,60.5,6,0.14,color,size,orientation,0.30000000000000004,40.5,4,male
17,1,1,1,1,2,0.9377440419993945,-7.0,24,0.26,color,size,orientation,0.30000000000000004,40.5,4,male
18,1,1,1,1,2,0.7213279580000744,11.0,20,0.30000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
19,1,1,1,1,2,0.8379979580004147,65.0,18,0.42000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
20,1,1,1,1,2,0.7214054160003798,-74.5,19,0.18000000000000002,color,size,orientation,0.30000000000000004,40.5,4,male
21,2,1,1,1,4,1.0304801669999506,51.5,10,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
22,2,2,2,1,4,1.938585083000362,-79.0,23,0.22000000000000003,color,size,orientation,0.30000000000000004,40.5,4,male
23,2,0,1,0,4,1.756059333999474,-47.5,7,0.38,color,size,orientation,0.30000000000000004,40.5,4,male
24,2,0,1,0,4,13.28483766699992,-20.5,9,0.42000000000000004,color,size,orientation,0.30000000000000004,40.5,4,male
25,2,0,0,1,4,7.616363291000198,15.5,2,0.14,color,size,orientation,0.30000000000000004,40.5,4,male
26,2,1,1,1,4,1.1219325420006498,-74.5,12,0.4600000000000001,color,size,orientation,0.30000000000000004,40.5,4,male
