Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,1,0,1,0,2,18.32397087500067,87.5,5,0.3400000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
2,1,1,0,0,2,0.9057227079993027,-16.0,6,0.3400000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
3,1,0,1,0,2,0.7470964589992946,11.0,23,0.14,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
4,1,0,0,1,2,0.8400938750000932,-34.0,12,0.38,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
5,1,0,0,1,2,0.9117647080001916,-25.0,19,0.38,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
6,1,0,0,1,2,0.717098959001305,-79.0,13,0.38,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
7,1,0,1,0,2,0.3152946250011155,56.0,0,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
8,4,4,7,0,8,0.7565123749991471,87.5,21,0.38,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
9,4,2,2,1,4,0.6337852500000736,20.0,20,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
10,4,6,3,0,8,0.3662644169999112,6.5,15,0.38,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
11,4,3,1,0,8,0.35258075000092504,-65.5,16,0.26,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
12,4,3,4,0,8,0.3584729170015635,24.5,11,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
13,4,2,1,0,4,0.7307147089995851,-47.5,16,0.3400000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
14,4,4,1,0,8,0.5464085420007905,6.5,20,0.18000000000000002,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
15,4,1,0,0,2,0.513313957999344,-29.5,16,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
16,4,1,1,1,2,0.4032708750000893,83.0,24,0.18000000000000002,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
17,4,2,2,1,4,0.6394329579998157,29.0,9,0.22000000000000003,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
18,4,5,0,0,8,0.40023320900036197,-25.0,5,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
19,4,1,1,1,2,0.6518080410005496,87.5,24,0.42000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
20,4,4,3,0,8,0.5573768750000454,-52.0,24,0.4600000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
21,4,5,1,0,8,0.6038259159995505,-61.0,21,0.26,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
22,4,2,1,0,4,0.6214784169987979,2.0,9,0.3400000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
23,4,0,0,1,2,0.8461106249997101,-38.5,8,0.18000000000000002,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
24,4,5,0,0,8,0.39457908400072483,-11.5,4,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
25,4,5,6,0,8,0.46548649999931513,38.0,4,0.42000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
26,4,2,0,0,4,0.4521802500003105,-16.0,5,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
27,4,1,0,0,2,0.5994288330002746,6.5,22,0.22000000000000003,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
28,4,5,5,1,8,0.36663470799976494,24.5,22,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
29,4,1,0,0,2,1.5123018750000483,-7.0,10,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
30,4,0,0,1,2,6.648441458999514,-34.0,6,0.42000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
31,4,2,5,0,8,0.9111235000000306,83.0,21,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
32,4,1,1,1,2,0.4964663749997271,20.0,2,0.38,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
33,4,0,0,1,2,0.7636314589999529,2.0,24,0.42000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
34,4,6,1,0,8,0.31896116600000823,6.5,16,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
35,4,6,0,0,8,0.348631041999397,-34.0,4,0.22000000000000003,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
36,4,6,2,0,8,0.48184670799855667,-7.0,3,0.4600000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
37,4,1,1,1,2,0.5730675830000109,11.0,18,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
38,4,1,0,0,2,0.311808333000954,-7.0,20,0.14,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
39,4,2,0,0,4,0.8459373749992665,-83.5,22,0.22000000000000003,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
40,4,1,1,1,2,0.7351108330003626,11.0,11,0.18000000000000002,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
41,4,1,1,1,2,0.4695477499990375,83.0,9,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
42,4,5,1,0,8,0.3015737080004328,-7.0,20,0.22000000000000003,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
43,4,2,0,0,4,1.0663301249987853,-43.0,22,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
44,4,1,0,0,2,0.48645933300031174,-38.5,2,0.42000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
45,4,5,0,0,8,0.6689009170004283,-29.5,9,0.1,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
46,4,1,0,0,2,0.4506694579995383,-61.0,13,0.4600000000000001,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
47,4,2,0,0,4,0.6009429160003492,2.0,20,0.14,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
48,4,2,0,0,4,0.998855084000752,-56.5,18,0.14,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
49,4,2,0,0,4,0.868036290999953,-52.0,18,0.30000000000000004,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
50,4,2,1,0,4,0.2995940000000701,-61.0,1,0.38,orientation,size,color,0.3400000000000001,11.0,444,male,0,44.664270958001,0,18
