Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time
1,1,1,1,1,2,0.914759374998539,11.0,14,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
2,1,1,1,1,2,0.605022874999122,78.5,21,0.42000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
3,1,1,1,1,2,1.0160701249988051,-38.5,16,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
4,1,1,1,1,2,0.4128713339996466,-16.0,15,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
5,1,1,1,1,2,0.39887670800089836,-74.5,17,0.22000000000000003,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
6,1,0,0,1,2,1.4444842080010858,11.0,7,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
7,1,0,0,1,2,0.5005991670004732,-70.0,7,0.1,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
8,1,0,0,1,2,0.5213330829974439,33.5,0,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
9,1,1,1,1,2,1.1493735000003653,-38.5,21,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
10,1,0,0,1,2,1.2285317499990924,-79.0,11,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
11,1,1,1,1,2,1.189391791998787,51.5,17,0.18000000000000002,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
12,1,1,1,1,2,1.078786082998704,6.5,24,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
13,1,1,1,1,2,0.4298212079993391,87.5,14,0.30000000000000004,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
14,1,0,0,1,2,1.0097950830022455,-74.5,7,0.14,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
15,1,1,1,1,2,1.1503246249994845,-38.5,24,0.4600000000000001,color,orientation,size,0.3400000000000001,-2.5,804,male,1,1056.0246858330029
