,Estimated_PE,Estimated_LP,Estimated_Nov,AIC,sub_id,n_trials,Accuracy_1,Accuracy_2,Accuracy_3,mean_accuracy,BIC,negLL
7,1.285642154748012,-0.14514619271578724,-0.044439967145890415,104.93038352687172,7,266,0.95,0.4,0.2,0.5166666666666667,116.8288237442428,49.46519176343586
20,1.6545952585658537,0.6771128033614159,-0.0376987761133819,149.2952752404081,20,190,1.0,0.95,0.25,0.7333333333333333,161.0031752406122,71.64763762020405
6,0.11676653884702126,0.1451347573672411,-0.03239825556428546,114.64215806830379,6,100,0.9,0.85,1.0,0.9166666666666666,125.5890807827874,54.32107903415189
4,0.15704824810746634,-0.007884571509465737,-0.05572288581474979,173.93271990918456,4,239,0.8,0.5,0.05,0.45,186.9057967963285,83.96635995459228
5,2.8277691332366683,-0.09493947913017672,-0.010468364390934024,83.23797974103765,5,102,1.0,0.95,1.0,0.9833333333333333,95.41534932778303,38.618989870518824
1,2.45864891648166,-0.747728397301128,-0.030264869922278614,143.68569957458706,1,212,1.0,1.0,0.5,0.8333333333333334,155.86306916133245,68.84284978729353
19,0.4291877376283212,-0.04385146806450204,-0.057594544539704896,428.18086998868574,19,258,0.65,0.2,0.25,0.36666666666666664,440.75181620624517,211.09043499434287
2,4.418962715640021,-2.4774329530055708,-0.015876747994921774,53.404302914643694,2,157,0.9,0.4,0.5,0.6,65.152909102466,23.702151457321847
3,1.027221838532557,0.0003900772646517772,-0.054846535802601216,247.41976311555308,3,352,0.95,0.4,0.1,0.48333333333333334,260.5955144557309,120.70988155777654
18,58.84195799309832,-2.4140928230669343,0.018183424742338576,20.893408508420837,18,106,0.95,0.85,0.9,0.9,31.98468896793705,7.4467042542104185
15,0.5067105837401975,0.3833253590582675,-0.03415828344089094,88.03283629497507,15,90,1.0,1.0,1.0,1.0,100.2794930261044,41.016418147487535
14,0.04177621800818795,0.18844398756713882,-0.026750894453893618,115.37708194754362,14,100,0.8,0.9,0.8,0.8333333333333334,127.03539404189408,54.68854097377181
16,2.3397664246773973,-0.1573305499752826,-0.026024875158334085,154.91508970778298,16,152,0.8,0.55,0.9,0.75,166.25732025515998,74.45754485389149
17,0.5079598219135208,-0.17085605733395134,-0.035528628044377744,157.52897632343715,17,103,1.0,1.0,0.9,0.9666666666666667,168.46531701636687,75.76448816171857
13,1.0304461381909702,-0.15514285920216134,-0.04304555936683996,178.7550643518402,13,198,1.0,0.7,0.8,0.8333333333333334,191.06944404908515,86.3775321759201
8,0.7521018442237316,0.252657564478839,-0.03124002191272974,173.40196238146166,8,100,0.95,1.0,0.85,0.9333333333333333,184.51330980543025,83.70098119073083
9,40.04408692128893,-3.601050136205723,0.01147814864603763,16.736735757795362,9,109,0.85,0.95,0.9,0.9,27.102699103868467,5.368367878897681
12,3.0739474067418455,0.34885484526258137,-0.03395518508794921,173.02156162512193,12,266,1.0,0.7,0.25,0.65,185.7772732746196,83.51078081256097
10,1.5651768113120728,-0.616742096359663,-0.03574057487495733,62.62912223294788,10,246,1.0,0.65,0.55,0.7333333333333333,74.69219228099647,28.31456111647394
11,1.4911429189684835,-0.5974075564690688,-0.016145684151792305,115.41995408081482,11,127,1.0,0.75,0.4,0.7166666666666667,126.33501808881606,54.70997704040741
