,Boundary_Increment,Boundary_Decrement,AIC,sub_id,n_trials,Accuracy_1,Accuracy_2,Accuracy_3,mean_accuracy,BIC,negLL,slope
7,0.8063016912767769,-1.2400114460799354,47.72502662266561,7,265,0.95,0.4,0.2,0.5166666666666667,59.623466840036684,20.862513311332805,3.0556487914000057
20,0.877243126363997,-0.2599763792424399,80.68497628219679,20,189,1.0,0.95,0.25,0.7333333333333333,92.39287628240089,37.34248814109839,6.457608401246199
6,1.1711934504933272,-0.3273358856093837,61.67273712301446,6,99,0.9,0.85,1.0,0.9166666666666666,72.61965983749808,27.83636856150723,5.036248385062541
4,1.2621957011644547,-0.2229801902728069,69.25044197880915,4,238,0.8,0.5,0.05,0.45,82.22351886595308,31.625220989404575,7.511407558456611
5,5.55069699664354,-7.508357729344004,68.81224889304795,5,101,1.0,0.95,1.0,0.9833333333333333,80.98961847979335,31.40612444652398,0.38603684323721554
1,0.9886152925869995,-0.28281054071458245,98.05507077206818,1,211,1.0,1.0,0.5,0.8333333333333334,110.23244035881356,46.02753538603409,5.825181582814897
19,1.4888529860011808,-0.7605102780774374,327.61607330917036,19,257,0.65,0.2,0.25,0.36666666666666664,340.1870195267298,160.80803665458518,1.677790978202351
2,1.1818947651610126,-0.5419582782850787,50.37249449550972,2,156,0.9,0.4,0.5,0.6,62.121100683332024,22.18624724775486,4.29604439361073
3,1.0743191000822012,-0.40897396209362485,136.95020114409084,3,351,0.95,0.4,0.1,0.48333333333333334,150.12595248426865,65.47510057204542,5.768605067462817
18,38755.747944170085,-49035.02076489729,66.09876021346446,18,105,0.95,0.85,0.9,0.9,77.19004067298067,30.04938010673223,6.026053536736835e-05
15,0.935768532382224,-0.2686301061716879,41.48451968553682,15,89,1.0,1.0,1.0,1.0,53.73117641666616,17.74225984276841,4.587248431198326
14,452839.9107070004,-827503.5266106371,88.29419337877654,14,99,0.8,0.9,0.8,0.8333333333333334,99.952505473127,41.14709668938827,2.897696334974512e-06
16,1.4934920642391178,-0.6895279005707476,119.65743694525318,16,151,0.8,0.55,0.9,0.75,130.99966749263018,56.82871847262659,2.4368235388369124
17,1.0175481456802937,-0.08315330208193328,68.85415870426723,17,102,1.0,1.0,0.9,0.9666666666666667,79.79049939719695,31.42707935213362,6.90610953463378
13,0.9580455551398979,-0.14499407940777853,85.58108178534992,13,197,1.0,0.7,0.8,0.8333333333333334,97.89546148259488,39.79054089267496,7.049606406638773
8,2.2920445539437697,-2.2887126065923233,90.54308288455215,8,99,0.95,1.0,0.85,0.9333333333333333,101.65443030852074,42.271541442276074,0.9829803861116517
9,85131.51157243203,-120238.00141021388,40.61589771244974,9,108,0.85,0.95,0.9,0.9,50.98186105852284,17.30794885622487,3.2195724973111734e-05
12,1.1707988988128175,-0.48742320625482727,138.66442013089605,12,265,1.0,0.7,0.25,0.65,151.42013178039372,66.33221006544802,4.262937060007069
10,0.8620149666916224,-0.09276542923933204,22.860343874938007,10,245,1.0,0.65,0.55,0.7333333333333333,34.92341392298658,8.430171937469003,21.476782755555785
11,0.9083091470954132,-0.523778716687639,71.50375648959138,11,126,1.0,0.75,0.4,0.7166666666666667,82.41882049759262,32.75187824479569,3.623155373346913
