,Current_task,Accuracy,Boundary_Task_1,Boundary_Task_2_low,Boundary_Task_2_high,Boundary_Task_3,Meta_trial,Probability_correct_1,Probability_correct_2,Probability_correct_3,Decision,Prob_Dec,Prob_Stay,Prob_Inc,accuracy_1,accuracy_2,accuracy_3
0,3,0,0.5,0.25,0.75,0.5,,0.5,0.25,0.16875,-1,0.9933071490757152,0.0066928509242848554,0,0.0,0.0,0.0
1,2,0,0.5,0.25,0.75,0.5,,0.5,0.25,0.2103125,-1,0.9236309741231845,0.0005108458555719515,0.07585818002124355,0.0,0.0,0.0
2,1,0,0.5,0.25,0.75,0.5,,0.5,0.2875,0.2103125,0,0,0.9933071490757152,0.0066928509242848554,0.0,0.0,0.0
3,1,0,0.5,0.25,0.75,0.5,,0.525,0.2875,0.2103125,0,0,0.9933071490757152,0.0066928509242848554,0.0,0.0,0.0
4,1,0,0.5,0.25,0.75,0.5,,0.5487500000000001,0.2875,0.2103125,0,0,0.9933071490757152,0.0066928509242848554,0.0,0.0,0.0
5,1,1,0.5,0.25,0.75,0.5,,0.5713125000000001,0.2875,0.2103125,0,0,0.9820137900379085,0.01798620996209156,0.1,0.0,0.0
6,1,0,0.5,0.25,0.75,0.5,,0.5927468750000001,0.2875,0.2103125,0,0,0.9820137900379085,0.01798620996209156,0.1,0.0,0.0
7,1,0,0.5,0.25,0.75,0.5,,0.6131095312500001,0.2875,0.2103125,0,0,0.9820137900379085,0.01798620996209156,0.1,0.0,0.0
8,1,1,0.5,0.25,0.75,0.5,,0.6324540546875002,0.2875,0.2103125,0,0,0.9525741268224333,0.04742587317756678,0.2,0.0,0.0
9,1,1,0.5,0.25,0.75,0.5,,0.6508313519531251,0.2875,0.2103125,0,0,0.8807970779778824,0.11920292202211755,0.3,0.0,0.0
10,1,1,0.5,0.25,0.75,0.5,,0.6682897843554689,0.2875,0.2103125,1,0,0.7310585786300049,0.2689414213699951,0.4,0.0,0.0
11,2,1,0.5,0.25,0.75,0.5,,0.6848752951376955,0.2875,0.2103125,-1,0.9236309741231845,0.0005108458555719515,0.07585818002124355,0.5,0.0,0.0
12,1,0,0.5,0.25,0.75,0.5,,0.6848752951376955,0.323125,0.2103125,1,0,0.5,0.5,0.5,0.0,0.0
13,2,1,0.5,0.25,0.75,0.5,,0.7006315303808107,0.323125,0.2103125,-1,0.9236309741231845,0.0005108458555719515,0.07585818002124355,0.6,0.0,0.0
14,1,0,0.5,0.25,0.75,0.5,,0.7006315303808107,0.35696875,0.2103125,0,0,0.2689414213699951,0.7310585786300049,0.6,0.0,0.0
15,1,1,0.5,0.25,0.75,0.5,,0.7155999538617702,0.35696875,0.2103125,1,0,0.11920292202211769,0.8807970779778823,0.7,0.0,0.0
16,2,0,0.5,0.25,0.75,0.5,,0.7298199561686817,0.35696875,0.2103125,-1,0.9236309741231845,0.0005108458555719515,0.07585818002124355,0.7,0.0,0.0
17,1,1,0.5,0.25,0.75,0.5,,0.7298199561686817,0.3891203125,0.2103125,0,0,0.11920292202211769,0.8807970779778823,0.7,0.1,0.0
18,1,1,0.5,0.25,0.75,0.5,,0.7433289583602476,0.3891203125,0.2103125,1,0,0.11920292202211769,0.8807970779778823,0.7,0.1,0.0
19,2,1,0.5,0.25,0.75,0.5,,0.7561625104422353,0.3891203125,0.2103125,-1,0.8163471478964207,0.0012273282972229379,0.18242552380635635,0.8,0.1,0.0
20,1,1,0.5,0.25,0.75,0.5,,0.7561625104422353,0.419664296875,0.2103125,1,0,0.047425873177566635,0.9525741268224334,0.8,0.2,0.0
21,2,1,0.5,0.25,0.75,0.5,,0.7683543849201235,0.419664296875,0.2103125,1,0.6199258360013185,0.0025334952005361478,0.3775406687981454,0.9,0.2,0.0
22,3,1,0.5,0.25,0.75,0.5,,0.7683543849201235,0.44868108203125,0.2103125,-1,0.9933071490757152,0.0066928509242848554,0,0.9,0.3,0.0
23,2,0,0.5,0.25,0.75,0.5,,0.7683543849201235,0.44868108203125,0.24979687500000003,1,0.3733926511293444,0.004148017668801004,0.6224593312018546,0.9,0.3,0.0
24,3,0,0.5,0.25,0.75,0.5,,0.7683543849201235,0.47624702792968754,0.24979687500000003,-1,0.9933071490757152,0.0066928509242848554,0,0.9,0.3,0.0
25,2,0,0.5,0.25,0.75,0.5,,0.7683543849201235,0.47624702792968754,0.28730703125,1,0.3733926511293444,0.004148017668801004,0.6224593312018546,0.9,0.3,0.0
26,3,1,0.5,0.25,0.75,0.5,,0.7683543849201235,0.5024346765332032,0.28730703125,-1,0.9933071490757152,0.0066928509242848554,0,0.9,0.4,0.0
27,2,1,0.5,0.25,0.75,0.5,,0.7683543849201235,0.5024346765332032,0.3229416796875,-1,0.17707822475760737,0.005347299048748963,0.8175744761936437,0.9,0.4,0.1
28,1,0,0.5,0.25,0.75,0.5,,0.7683543849201235,0.527312942706543,0.3229416796875,1,0,0.01798620996209155,0.9820137900379085,0.9,0.4,0.1
29,2,1,0.5,0.25,0.75,0.5,,0.7799366656741173,0.527312942706543,0.3229416796875,1,0.17707822475760737,0.005347299048748963,0.8175744761936437,0.9,0.4,0.1
30,3,0,0.5,0.25,0.75,0.5,,0.7799366656741173,0.5509472955712159,0.3229416796875,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.4,0.1
31,2,0,0.5,0.25,0.75,0.5,,0.7799366656741173,0.5509472955712159,0.356794595703125,-1,0.17707822475760737,0.005347299048748963,0.8175744761936437,0.9,0.4,0.1
32,1,1,0.5,0.25,0.75,0.5,,0.7799366656741173,0.5733999307926552,0.356794595703125,1,0,0.01798620996209155,0.9820137900379085,0.9,0.5,0.1
33,2,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.5733999307926552,0.356794595703125,1,0.07010371654510807,0.005754463476135386,0.9241418199787566,0.9,0.5,0.1
34,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.5947299342530225,0.356794595703125,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.6,0.1
35,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.5947299342530225,0.38895486591796874,1,0.02396493170260739,0.005347299048748971,0.9706877692486436,0.9,0.6,0.1
36,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6149934375403713,0.38895486591796874,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.7,0.1
37,2,0,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6149934375403713,0.4195071226220703,1,0.006838924961792181,0.004148017668801007,0.9890130573694068,0.9,0.7,0.1
38,3,1,0.5,0.25,0.75,0.5,,0.7909398323904114,0.6342437656633527,0.4195071226220703,-1,0.9820137900379085,0.01798620996209156,0,0.9,0.7,0.1
