Trial_number,Chosen_castle,Chosen_location,Correct_location,Accuracy,Number_of_doors,RT,Current_orientation,Current_color,Current_size,First_feature,Second_feature,Third_feature,Participant_size,Participant_orientation,Participant_number,Participant_gender,Early_exit,Training_time,Meta_trial,Participant_age
1,1,0,1,0,2,7.778946399999995,6.5,12,0.30000000000000004,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,1,26
2,1,1,0,0,2,1.7104405000000042,33.5,6,0.22000000000000003,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,1,26
3,1,1,1,1,2,5.811938000000055,-2.5,22,0.3400000000000001,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,1,26
4,1,0,0,1,2,1.918069599999967,15.5,16,0.1,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,0,26
5,1,1,0,0,2,1.3496624999999085,-20.5,14,0.22000000000000003,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,0,26
6,1,0,1,0,2,1.8419646999999486,65.0,6,0.30000000000000004,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,1,26
7,2,0,1,0,4,10.91944490000003,-2.5,7,0.22000000000000003,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,1,26
8,2,0,0,1,4,5.232041900000013,-34.0,17,0.22000000000000003,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,1,26
9,2,3,3,1,4,2.516425400000003,42.5,20,0.42000000000000004,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,0,26
10,2,3,3,1,4,2.133759800000007,42.5,17,0.38,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,0,26
11,2,2,1,0,4,14.45050409999999,42.5,15,0.1,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,0,26
12,2,0,2,0,4,3.2152209999999286,-38.5,21,0.26,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,1,26
13,2,2,3,0,4,6.40049410000006,29.0,11,0.38,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,1,26
14,2,3,1,0,4,5.882635999999934,29.0,13,0.14,size,orientation,color,0.26,-16.0,16,male,0,2706.1785744,1,26
